"date_value","dc_district","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2016-06-15,"25",0,0,0,0,0,0,1,0,0,0
2016-06-15,"26",0,0,0,0,0,0,0,0,0,1
2016-06-15,"35",0,0,1,0,0,0,0,0,0,0
2016-06-15,"39",0,0,1,0,0,0,0,0,0,0
2016-06-15,"49",0,0,0,0,0,0,0,0,0,0
2016-06-15,"71",0,0,0,0,0,0,0,0,0,0
2016-06-15,"77",0,0,0,0,0,0,0,0,0,0
2016-06-16,"01",0,0,0,0,0,0,0,0,0,0
2016-06-16,"02",2,0,0,0,0,0,0,0,1,0
2016-06-16,"03",0,0,0,0,0,0,0,0,0,0
2016-06-16,"05",0,0,0,0,0,0,0,0,0,0
2016-06-16,"06",1,0,3,0,0,0,2,1,4,0
2016-06-16,"07",0,0,0,0,0,0,0,0,0,0
2016-06-16,"08",1,0,0,0,0,0,0,0,0,0
2016-06-16,"09",0,0,0,0,0,0,0,0,1,0
2016-06-16,"12",0,0,0,0,0,0,0,0,0,0
2016-06-16,"14",0,0,0,0,0,0,0,0,0,0
2016-06-16,"15",0,0,1,0,0,0,1,0,0,0
2016-06-16,"16",0,0,1,0,0,0,0,0,0,0
2016-06-16,"17",0,0,0,0,0,0,0,0,2,0
2016-06-16,"18",1,0,0,0,0,0,0,2,0,1
2016-06-16,"19",1,0,0,0,0,0,0,0,1,0
2016-06-16,"22",0,0,0,0,0,0,0,0,0,0
2016-06-16,"24",0,0,3,0,0,0,5,0,0,0
2016-06-16,"25",0,0,0,0,0,0,1,2,0,0
2016-06-16,"26",0,0,1,0,0,0,0,0,1,0
2016-06-16,"35",0,0,0,0,0,0,0,0,0,1
2016-06-16,"39",0,0,1,0,0,0,0,0,0,0
2016-06-16,"49",0,0,0,0,0,0,0,0,0,0
2016-06-16,"71",0,0,0,0,0,0,0,0,0,0
2016-06-16,"77",0,0,0,0,0,0,0,0,0,0
2016-06-17,"01",0,0,0,0,0,0,0,0,0,0
2016-06-17,"02",1,0,0,0,0,0,0,0,3,0
2016-06-17,"03",0,0,1,0,0,0,0,0,0,0
2016-06-17,"05",0,0,0,0,0,0,0,0,0,0
2016-06-17,"06",0,0,0,0,0,0,0,2,4,1
2016-06-17,"07",0,0,0,0,0,0,0,0,0,0
2016-06-17,"08",1,0,0,0,0,0,0,1,0,0
2016-06-17,"09",1,0,0,0,0,1,0,0,0,0
2016-06-17,"12",0,0,0,0,0,0,0,2,2,0
2016-06-17,"14",0,0,0,0,0,0,0,0,0,0
2016-06-17,"15",0,0,0,0,0,1,1,0,0,0
2016-06-17,"16",0,0,0,0,0,0,1,1,0,0
2016-06-17,"17",0,0,0,0,0,0,0,0,1,0
2016-06-17,"18",0,0,0,0,0,0,0,0,0,0
2016-06-17,"19",0,0,0,0,0,0,0,0,0,0
2016-06-17,"22",0,0,1,0,0,0,0,0,3,0
2016-06-17,"24",0,0,0,0,0,0,3,0,1,1
2016-06-17,"25",0,0,0,0,0,0,2,1,0,0
2016-06-17,"26",0,0,0,0,0,0,0,3,1,0
2016-06-17,"35",0,0,2,0,0,0,1,0,1,2
2016-06-17,"39",0,0,2,0,0,0,0,0,0,0
2016-06-17,"49",0,0,0,0,0,0,0,0,0,0
2016-06-17,"71",0,0,0,0,0,0,0,0,0,0
2016-06-17,"77",0,0,0,0,0,0,0,0,0,0
2016-06-18,"01",0,0,0,0,0,0,0,0,1,0
2016-06-18,"02",2,0,0,0,0,0,0,0,4,0
2016-06-18,"03",0,0,0,0,0,0,0,1,0,0
2016-06-18,"05",0,0,0,0,0,0,0,0,0,0
2016-06-18,"06",0,0,0,0,1,0,2,3,5,0
2016-06-18,"07",0,0,0,0,0,0,0,0,0,0
2016-06-18,"08",0,0,0,0,0,0,0,0,0,0
2016-06-18,"09",0,0,0,0,0,1,0,0,0,1
2016-06-18,"12",0,0,0,0,0,0,0,0,0,0
2016-06-18,"14",0,0,0,0,0,0,0,0,0,0
2016-06-18,"15",0,0,1,0,0,0,1,0,1,0
2016-06-18,"16",0,0,0,0,0,0,0,0,0,0
2016-06-18,"17",0,0,0,0,0,0,0,0,0,0
2016-06-18,"18",0,0,1,0,0,0,0,0,0,0
2016-06-18,"19",0,0,0,0,0,0,0,0,0,0
2016-06-18,"22",0,0,0,0,0,0,0,0,0,0
2016-06-18,"24",0,0,3,2,0,0,3,1,0,0
2016-06-18,"25",0,0,0,0,0,0,2,0,1,0
2016-06-18,"26",0,1,0,0,0,0,0,0,0,1
2016-06-18,"35",0,0,0,0,0,0,0,0,1,0
2016-06-18,"39",0,0,0,0,0,0,0,0,0,0
2016-06-18,"49",0,0,0,0,0,0,0,0,0,0
2016-06-18,"71",0,0,0,0,0,0,0,0,0,0
2016-06-18,"77",0,0,0,0,0,0,0,0,0,0
2016-06-19,"01",0,0,0,0,0,0,0,0,0,0
2016-06-19,"02",0,0,0,0,0,0,0,0,0,0
2016-06-19,"03",0,0,0,0,0,0,0,1,0,0
2016-06-19,"05",0,0,0,0,0,0,0,0,0,0
2016-06-19,"06",0,0,4,0,0,0,0,1,3,0
2016-06-19,"07",0,0,0,0,0,0,0,0,0,0
2016-06-19,"08",0,0,0,0,3,0,0,0,0,0
2016-06-19,"09",0,0,1,0,0,0,0,1,0,0
2016-06-19,"12",0,0,0,0,0,0,0,0,0,0
2016-06-19,"14",0,0,0,0,0,0,0,0,0,0
2016-06-19,"15",0,0,0,0,0,0,1,0,0,1
2016-06-19,"16",0,0,0,0,0,0,0,0,0,0
2016-06-19,"17",0,0,0,0,0,0,0,0,0,0
2016-06-19,"18",0,0,3,0,0,0,0,0,0,1
2016-06-19,"19",1,0,0,0,0,0,0,0,0,0
2016-06-19,"22",1,0,0,4,0,0,0,0,0,0
2016-06-19,"24",2,0,1,0,0,0,0,1,1,0
2016-06-19,"25",0,0,0,0,0,0,0,0,0,0
2016-06-19,"26",0,0,0,0,0,0,0,0,0,1
2016-06-19,"35",0,0,0,0,0,0,1,0,0,0
2016-06-19,"39",0,0,1,0,0,0,0,0,0,0
2016-06-19,"49",0,0,0,0,0,0,0,0,0,0
2016-06-19,"71",0,0,0,0,0,0,0,0,0,0
2016-06-19,"77",0,0,0,0,0,0,0,0,0,0
2016-06-20,"01",1,0,0,0,0,0,0,0,0,0
2016-06-20,"02",2,0,0,0,0,0,0,0,0,0
2016-06-20,"03",0,0,0,0,0,0,0,0,0,0
2016-06-20,"05",0,0,0,0,0,0,0,0,0,0
2016-06-20,"06",1,0,0,0,0,0,0,0,7,0
2016-06-20,"07",0,0,0,0,0,0,0,0,0,0
2016-06-20,"08",0,0,0,0,0,0,0,0,0,0
2016-06-20,"09",0,0,1,0,0,0,0,0,1,0
2016-06-20,"12",0,0,0,0,0,0,0,1,0,0
2016-06-20,"14",0,0,0,0,0,0,0,0,0,0
2016-06-20,"15",0,0,1,0,0,0,0,0,0,0
2016-06-20,"16",0,0,0,0,0,0,0,0,1,0
2016-06-20,"17",0,0,0,0,0,0,0,0,1,0
2016-06-20,"18",0,0,0,0,0,0,0,0,0,0
2016-06-20,"19",0,0,0,0,0,0,0,1,1,0
2016-06-20,"22",0,0,1,0,0,0,0,0,0,0
2016-06-20,"24",0,0,1,0,0,0,3,0,1,0
2016-06-20,"25",0,0,0,0,0,0,1,1,0,0
2016-06-20,"26",0,0,0,0,0,0,0,0,0,0
2016-06-20,"35",0,0,0,0,0,0,1,1,0,1
2016-06-20,"39",0,0,0,0,0,0,0,0,0,0
2016-06-20,"49",0,0,0,0,0,0,0,0,0,0
2016-06-20,"71",0,0,0,0,0,0,0,0,0,0
2016-06-20,"77",0,0,0,0,0,0,0,0,0,0
2016-06-21,"01",0,0,0,0,0,0,0,0,0,0
2016-06-21,"02",0,0,0,0,0,0,0,0,0,0
2016-06-21,"03",1,0,0,0,0,0,0,0,0,0
2016-06-21,"05",0,0,0,0,0,0,0,0,0,0
2016-06-21,"06",0,0,1,0,0,0,1,1,6,0
2016-06-21,"07",0,0,0,0,0,0,0,0,0,0
2016-06-21,"08",0,0,0,0,0,0,0,2,0,0
2016-06-21,"09",0,0,1,0,0,0,2,0,1,0
2016-06-21,"12",0,0,0,0,0,0,0,1,0,0
2016-06-21,"14",0,0,0,0,0,0,0,0,0,0
2016-06-21,"15",0,0,0,0,0,0,0,0,1,0
2016-06-21,"16",0,0,0,0,0,0,0,0,0,0
2016-06-21,"17",0,0,0,0,0,0,0,0,1,0
2016-06-21,"18",0,0,1,0,0,0,2,0,0,0
2016-06-21,"19",0,0,0,0,0,0,0,0,2,0
2016-06-21,"22",0,0,0,0,0,0,0,0,0,0
2016-06-21,"24",0,0,0,0,0,0,3,0,0,0
2016-06-21,"25",0,0,0,0,0,0,4,0,0,0
2016-06-21,"26",0,0,1,0,0,0,0,0,0,2
2016-06-21,"35",0,0,0,0,0,0,0,0,1,0
2016-06-21,"39",0,0,1,0,0,0,0,0,0,0
2016-06-21,"49",0,0,0,0,0,0,0,0,0,0
2016-06-21,"71",0,0,0,0,0,0,0,0,0,0
2016-06-21,"77",0,0,0,0,0,0,0,0,0,0
2016-06-22,"01",1,0,0,0,0,0,0,0,0,0
2016-06-22,"02",1,0,0,0,0,0,0,0,1,0
2016-06-22,"03",0,0,0,0,0,0,0,0,0,0
2016-06-22,"05",0,0,0,0,0,0,0,0,0,0
2016-06-22,"06",0,0,2,0,0,0,4,0,6,0
2016-06-22,"07",0,0,0,0,0,0,0,0,0,0
2016-06-22,"08",0,0,0,0,0,0,0,0,0,0
2016-06-22,"09",0,0,0,0,0,0,1,1,0,0
2016-06-22,"12",0,0,0,0,0,0,0,0,0,0
2016-06-22,"14",0,0,0,0,0,0,0,0,0,0
2016-06-22,"15",1,0,0,0,0,0,1,1,0,1
2016-06-22,"16",0,0,0,0,0,0,0,1,0,0
2016-06-22,"17",0,0,0,0,0,0,0,0,0,0
2016-06-22,"18",0,0,1,0,0,0,0,0,0,1
2016-06-22,"19",0,0,0,0,0,0,0,0,0,0
2016-06-22,"22",0,0,1,0,0,0,0,0,0,0
2016-06-22,"24",1,0,1,0,0,0,0,1,0,0
2016-06-22,"25",0,0,0,0,0,0,0,0,1,0
2016-06-22,"26",0,0,0,0,0,0,0,0,0,1
2016-06-22,"35",0,0,1,0,0,0,1,0,4,0
